OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,YearCollected,MonthCollected,DayCollected,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,Measure,ResultSampleFractionText,Result,Unit,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400027,Sample-Routine,Water,Surface Water,1964,6,21,6/21/64,,,6/30/64,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599016,,,Alkalinity,Total,13,mg/l CaCO3,,Historical,,Actual,,,,,,,,,,,410,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400027,Sample-Routine,Water,Surface Water,1964,6,21,6/21/64,,,6/30/64,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599017,,,Stream flow,,67,m3/sec,,Historical,Mean,Actual,,1 Day,,,,,,,,,30208,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599018,,,Stream flow,,3680,ft3/s,,Historical,Mean,Actual,,1 Day,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599019,,,Color,Dissolved,10,PCU,,Historical,,Actual,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599020,,,Specific conductance,Total,73,uS/cm @25C,,Historical,,Actual,,,25 deg C,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599021,,,"Acidity, (H+)",Total,0.00051,mg/l,,Historical,,Actual,,,,,,,,,,,191,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599022,,,pH,Total,6.3,std units,,Historical,,Actual,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599024,,,Alkalinity,Total,13,mg/l CaCO3,,Historical,,Actual,,,,,,,,,,,410,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599028,,,"Hardness, Ca, Mg",,18,mg/l CaCO3,,Historical,,Actual,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599029,,,"Hardness, non-carbonate",Total,5,mg/l CaCO3,,Historical,,Actual,,,,,,,,,,,902,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599033,,,Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],,0.5,None,,Historical,,Actual,,,,,,,,,,,931,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599040,,,Stream flow,,104,m3/sec,,Historical,Mean,Actual,,1 Day,,,,,,,,,30208,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599041,,,Total dissolved solids,Dissolved,47,mg/l,,Historical,,Actual,,,180 deg C,,,,,,,,70300,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599042,,,Total dissolved solids,Dissolved,54,mg/l,,Historical,,Actual,,,,,,,,,,,70301,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599043,,,Total dissolved solids,Dissolved,467,tons/day,,Historical,,Actual,,,,,,,,,,,70302,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599044,,,Total dissolved solids,Dissolved,0.07,tons/ac ft,,Historical,,Actual,,,,,,,,,,,70303,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585466,,,Stream flow,,2060,ft3/s,,Historical,Mean,Actual,,1 Day,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585467,,,Color,Dissolved,5,PCU,,Historical,,Actual,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585468,,,Specific conductance,Total,65,uS/cm @25C,,Historical,,Actual,,,25 deg C,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585469,,,"Acidity, (H+)",Total,0.0004,mg/l,,Historical,,Actual,,,,,,,,,,,191,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585470,,,pH,Total,6.4,std units,,Historical,,Actual,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585472,,,Alkalinity,Total,8,mg/l CaCO3,,Historical,,Actual,,,,,,,,,,,410,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585476,,,"Hardness, Ca, Mg",,11,mg/l CaCO3,,Historical,,Actual,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585477,,,"Hardness, non-carbonate",Total,3,mg/l CaCO3,,Historical,,Actual,,,,,,,,,,,902,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585481,,,Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],,0.9,None,,Historical,,Actual,,,,,,,,,,,931,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585488,,,Stream flow,,58,m3/sec,,Historical,Mean,Actual,,1 Day,,,,,,,,,30208,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585489,,,Total dissolved solids,Dissolved,40,mg/l,,Historical,,Actual,,,180 deg C,,,,,,,,70300,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585490,,,Total dissolved solids,Dissolved,54,mg/l,,Historical,,Actual,,,,,,,,,,,70301,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585491,,,Total dissolved solids,Dissolved,222,tons/day,,Historical,,Actual,,,,,,,,,,,70302,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585492,,,Total dissolved solids,Dissolved,0.07,tons/ac ft,,Historical,,Actual,,,,,,,,,,,70303,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300025,Sample-Routine,Water,Surface Water,1963,7,1,7/1/63,,,7/10/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585495,,,Stream flow,,1950,ft3/s,,Historical,Mean,Actual,,1 Day,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,NWIS
