OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,YearCollected,MonthCollected,DayCollected,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97400008,Sample-Routine,Water,Surface Water,1974,5,21,5/21/74,10:45:00,CDT,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10839130,,,Heptachlor,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39410,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97400008,Sample-Routine,Water,Surface Water,1974,5,21,5/21/74,10:45:00,CDT,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10839131,,,Heptachlor epoxide,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39420,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97400008,Sample-Routine,Water,Surface Water,1974,5,21,5/21/74,10:45:00,CDT,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10839132,,,Polychlorinated biphenyls,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39516,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97400008,Sample-Routine,Water,Surface Water,1974,5,21,5/21/74,10:45:00,CDT,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10839133,,,Malathion,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39530,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97400008,Sample-Routine,Water,Surface Water,1974,5,21,5/21/74,10:45:00,CDT,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10839134,,,Parathion,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39540,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97400008,Sample-Routine,Water,Surface Water,1974,5,21,5/21/74,10:45:00,CDT,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10839135,,,Diazinon,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39570,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97400008,Sample-Routine,Water,Surface Water,1974,5,21,5/21/74,10:45:00,CDT,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10839136,,,Methyl parathion,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39600,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97400008,Sample-Routine,Water,Surface Water,1974,5,21,5/21/74,10:45:00,CDT,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10839137,,,Carbophenothion,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39786,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97400008,Sample-Routine,Water,Surface Water,1974,5,21,5/21/74,10:45:00,CDT,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10839138,,,Carbophenothion-methyl,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39790,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300003,Sample-Routine,Water,Surface Water,1973,1,17,1/17/73,11:45:00,CST,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10800879,,,Aldrin,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39330,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300003,Sample-Routine,Water,Surface Water,1973,1,17,1/17/73,11:45:00,CST,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10800880,,,gamma-HCH (Lindane),Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39340,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300003,Sample-Routine,Water,Surface Water,1973,1,17,1/17/73,11:45:00,CST,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10800881,,,"Chlordane, technical",Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39350,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300003,Sample-Routine,Water,Surface Water,1973,1,17,1/17/73,11:45:00,CST,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10800882,,,"p,p'-DDD",Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39360,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300003,Sample-Routine,Water,Surface Water,1973,1,17,1/17/73,11:45:00,CST,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10800883,,,"p,p'-DDE",Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39365,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300003,Sample-Routine,Water,Surface Water,1973,1,17,1/17/73,11:45:00,CST,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10800884,,,"p,p'-DDT",Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39370,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300003,Sample-Routine,Water,Surface Water,1973,1,17,1/17/73,11:45:00,CST,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10800885,,,Dieldrin,Recoverable,0.01,ug/l,,Historical,,Actual,,,,,,,,,,,39380,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300003,Sample-Routine,Water,Surface Water,1973,1,17,1/17/73,11:45:00,CST,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10800886,,,Endrin,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39390,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300003,Sample-Routine,Water,Surface Water,1973,1,17,1/17/73,11:45:00,CST,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10800887,,,Heptachlor,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39410,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300003,Sample-Routine,Water,Surface Water,1973,1,17,1/17/73,11:45:00,CST,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10800888,,,Heptachlor epoxide,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39420,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300003,Sample-Routine,Water,Surface Water,1973,1,17,1/17/73,11:45:00,CST,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10800889,,,Malathion,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39530,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300003,Sample-Routine,Water,Surface Water,1973,1,17,1/17/73,11:45:00,CST,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10800890,,,Parathion,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39540,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300003,Sample-Routine,Water,Surface Water,1973,1,17,1/17/73,11:45:00,CST,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10800891,,,Diazinon,Recoverable,0.08,ug/l,,Historical,,Actual,,,,,,,,,,,39570,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300003,Sample-Routine,Water,Surface Water,1973,1,17,1/17/73,11:45:00,CST,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10800892,,,Methyl parathion,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39600,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300003,Sample-Routine,Water,Surface Water,1973,1,17,1/17/73,11:45:00,CST,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10800893,,,"2,4-D",Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39730,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300003,Sample-Routine,Water,Surface Water,1973,1,17,1/17/73,11:45:00,CST,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10800895,,,Silvex,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39760,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300010,Sample-Routine,Water,Surface Water,1973,8,15,8/15/73,10:35:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10801165,,,Aldrin,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39330,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300010,Sample-Routine,Water,Surface Water,1973,8,15,8/15/73,10:35:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10801166,,,gamma-HCH (Lindane),Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39340,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300010,Sample-Routine,Water,Surface Water,1973,8,15,8/15/73,10:35:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10801167,,,"Chlordane, technical",Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39350,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300010,Sample-Routine,Water,Surface Water,1973,8,15,8/15/73,10:35:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10801168,,,"p,p'-DDD",Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39360,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300010,Sample-Routine,Water,Surface Water,1973,8,15,8/15/73,10:35:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10801169,,,"p,p'-DDE",Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39365,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300010,Sample-Routine,Water,Surface Water,1973,8,15,8/15/73,10:35:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10801170,,,"p,p'-DDT",Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39370,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300010,Sample-Routine,Water,Surface Water,1973,8,15,8/15/73,10:35:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10801171,,,Dieldrin,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39380,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300010,Sample-Routine,Water,Surface Water,1973,8,15,8/15/73,10:35:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10801172,,,Endrin,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39390,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300010,Sample-Routine,Water,Surface Water,1973,8,15,8/15/73,10:35:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10801173,,,Heptachlor,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39410,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300010,Sample-Routine,Water,Surface Water,1973,8,15,8/15/73,10:35:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10801174,,,Heptachlor epoxide,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39420,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300010,Sample-Routine,Water,Surface Water,1973,8,15,8/15/73,10:35:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10801175,,,Polychlorinated biphenyls,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39516,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300010,Sample-Routine,Water,Surface Water,1973,8,15,8/15/73,10:35:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10801176,,,Malathion,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39530,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300010,Sample-Routine,Water,Surface Water,1973,8,15,8/15/73,10:35:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10801177,,,Parathion,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39540,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300010,Sample-Routine,Water,Surface Water,1973,8,15,8/15/73,10:35:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10801178,,,Diazinon,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39570,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300010,Sample-Routine,Water,Surface Water,1973,8,15,8/15/73,10:35:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10801179,,,Methyl parathion,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39600,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300010,Sample-Routine,Water,Surface Water,1973,8,15,8/15/73,10:35:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10801180,,,"2,4-D",Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39730,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97300010,Sample-Routine,Water,Surface Water,1973,8,15,8/15/73,10:35:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10801182,,,Silvex,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39760,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.97500019,Sample-Routine,Water,Surface Water,1975,7,29,7/29/75,10:00:00,CDT,,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10893307,,,Aldrin,Recoverable,0,ug/l,,Historical,,Actual,,,,,,,,,,,39330,,,,,,,,,,,,,,,,,,,,,,,NWIS
