OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,YearCollected,MonthCollected,DayCollected,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,Measure,ResultSampleFractionText,Result,Unit,FullUnit,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400013,Sample-Routine,Water,Surface Water,1964,2,1,2/1/64,,,2/10/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10598681,,,Fluoride,Dissolved,0,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,950,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400013,Sample-Routine,Water,Surface Water,1964,2,1,2/1/64,,,2/10/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10598682,,,Silica,Dissolved,8.8,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,955,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400013,Sample-Routine,Water,Surface Water,1964,2,1,2/1/64,,,2/10/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10598689,,,Iron,Total,10,ug/l,ug/l,,Historical,,Actual,,,,,,,,,,,71885,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400027,Sample-Routine,Water,Surface Water,1964,6,21,6/21/64,,,6/30/64,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599015,,,Carbon dioxide,Total,13,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,405,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599023,,,Carbon dioxide,Total,13,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599025,,,Bicarbonate,Total,16,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599026,,,Carbonate,Total,0,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,445,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599030,,,Calcium,Dissolved,5.1,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,915,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599031,,,Magnesium,Dissolved,1.3,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,925,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599032,,,Sodium,Dissolved,5.3,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,930,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599034,,,Sodium_percent total cations,,36,%,%,,Historical,,Actual,,,,,,,,,,,932,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599035,,,Potassium,Dissolved,1.7,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,935,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599036,,,Chloride,Dissolved,6.5,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,940,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599037,,,Sulfate,Dissolved,10,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,945,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599038,,,Fluoride,Dissolved,0,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,950,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599039,,,Silica,Dissolved,8.4,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,955,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400028,Sample-Routine,Water,Surface Water,1964,7,1,7/1/64,,,7/11/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10599046,,,Iron,Total,0,ug/l,ug/l,,Historical,,Actual,,,,,,,,,,,71885,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585471,,,Carbon dioxide,Total,6.4,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585473,,,Bicarbonate,Total,10,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585474,,,Carbonate,Total,0,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,445,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585478,,,Calcium,Dissolved,2,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,915,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585479,,,Magnesium,Dissolved,1.5,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,925,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585480,,,Sodium,Dissolved,6.9,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,930,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585482,,,Sodium_percent total cations,,54,%,%,,Historical,,Actual,,,,,,,,,,,932,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585483,,,Potassium,Dissolved,1.2,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,935,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585484,,,Chloride,Dissolved,10,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,940,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585485,,,Sulfate,Dissolved,4.2,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,945,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585486,,,Fluoride,Dissolved,0.1,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,950,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585487,,,Silica,Dissolved,8.8,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,955,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300024,Sample-Routine,Water,Surface Water,1963,6,21,6/21/63,,,6/30/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585494,,,Iron,Total,10,ug/l,ug/l,,Historical,,Actual,,,,,,,,,,,71885,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300025,Sample-Routine,Water,Surface Water,1963,7,1,7/1/63,,,7/10/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585500,,,Carbon dioxide,Total,4,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300025,Sample-Routine,Water,Surface Water,1963,7,1,7/1/63,,,7/10/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585502,,,Bicarbonate,Total,10,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300025,Sample-Routine,Water,Surface Water,1963,7,1,7/1/63,,,7/10/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585503,,,Carbonate,Total,0,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,445,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300025,Sample-Routine,Water,Surface Water,1963,7,1,7/1/63,,,7/10/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585507,,,Calcium,Dissolved,2.7,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,915,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300025,Sample-Routine,Water,Surface Water,1963,7,1,7/1/63,,,7/10/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585508,,,Magnesium,Dissolved,2,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,925,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300025,Sample-Routine,Water,Surface Water,1963,7,1,7/1/63,,,7/10/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585509,,,Sodium,Dissolved,6.7,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,930,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300025,Sample-Routine,Water,Surface Water,1963,7,1,7/1/63,,,7/10/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585511,,,Sodium_percent total cations,,47,%,%,,Historical,,Actual,,,,,,,,,,,932,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300025,Sample-Routine,Water,Surface Water,1963,7,1,7/1/63,,,7/10/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585512,,,Potassium,Dissolved,1.4,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,935,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300025,Sample-Routine,Water,Surface Water,1963,7,1,7/1/63,,,7/10/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585513,,,Chloride,Dissolved,12,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,940,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300025,Sample-Routine,Water,Surface Water,1963,7,1,7/1/63,,,7/10/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585514,,,Sulfate,Dissolved,4.4,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,945,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300025,Sample-Routine,Water,Surface Water,1963,7,1,7/1/63,,,7/10/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585515,,,Fluoride,Dissolved,0.1,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,950,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300025,Sample-Routine,Water,Surface Water,1963,7,1,7/1/63,,,7/10/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585516,,,Silica,Dissolved,8.4,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,955,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96300025,Sample-Routine,Water,Surface Water,1963,7,1,7/1/63,,,7/10/63,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10585523,,,Iron,Total,20,ug/l,ug/l,,Historical,,Actual,,,,,,,,,,,71885,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400016,Sample-Routine,Water,Surface Water,1964,3,1,3/1/64,,,3/10/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10598755,,,Carbon dioxide,Total,26,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-LA,USGS Louisiana Water Science Center,nwisla.01.96400016,Sample-Routine,Water,Surface Water,1964,3,1,3/1/64,,,3/10/64,,,,,,,,,,,,,,USGS-02489500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-10598757,,,Bicarbonate,Total,8,mg/l,mg/l,,Historical,,Actual,,,,,,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,NWIS
