"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","Dissector_and_Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","ACAN.OSTR","CEST.COMP","CEST.MEG","LEECH.KUT","MONO.IP","MONO.UNK","MYX.GEOM","NEM.CYST","NEM.NMTS","NEM.PHAR","NEM.PTY","NEM.SP","NEM.TAF","NEM.UNK","NMORPH","TREM.2","TREM.ALLO","TREM.BLE","TREM.CREP","TREM.F","TREM.META.GG","MYX.TAIL","TREM.META.UNK","TREM.LG","TREM.LIP","TREM.MEGICT","TREM.SMILE","TREM.UNK"
"11","31542","1963",10,"24","31542_02","SC DJB KL","6/25/2024",NA,80,65,3533,"impact","impact_1954-1963","30.74055","-89.82694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","31804","1963",11,"14","31804_02","IJ JT CJW","6/26/2024",NA,109,90,8310,"impact","impact_1954-1963","30.705","-89.84611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"13","31804","1963",11,"14","31804_01","DJB IJ KL","6/26/2024",NA,99,70,6317,"impact","impact_1954-1963","30.705","-89.84611",0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","31808","1963",11,"14-15","31808_02","IJ SC KL","6/27/2024",NA,125,92,14234,"impact","impact_1954-1963","30.70222","-89.84417",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2
"15","31808","1963",11,"14-15","31808_01","DJB SC CJW","6/27/2024",NA,129,97,14151,"impact","impact_1954-1963","30.70222","-89.84417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","37835","1965",5,"21","37835_01","IJ DJB KL","6/25/2024",NA,99,68,5354,"control","control_1964-1973","30.76805","-89.83083",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","37835","1965",5,"21","37835_02","JT DJB KL","6/25/2024",NA,96,72,4538,"control","control_1964-1973","30.76805","-89.83083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"18","39300","1965",11,"19","39300_02","DJB JT KL","6/26/2024",NA,98,73,6744,"impact","impact_1964-1973","30.75667","-89.82611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","39300","1965",11,"19","39300_01","SC IJ KL GC","6/26/2024",NA,99,78,5471,"impact","impact_1964-1973","30.75667","-89.82611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","40125","1966",3,"17","40125_02","gmc cnw kl","1/23/2024","na",68,52,NA,"impact","impact_1964-1973","30.75667","-89.82611",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","40125","1966",3,"17","40125_01","ht kl sd gmc","1/23/2024","na",91,74,NA,"impact","impact_1964-1973","30.75667","-89.82611",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
"22","40616","1966",4,"22","40616_02","JT DJB GMC","6/25/2024",NA,52,39,902,"control","control_1964-1973","30.77861","-89.82972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"23","40616","1966",4,"22","40616_01","SC DJB IJ","6/25/2024",NA,110,85,7815,"control","control_1964-1973","30.77861","-89.82972",0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"24","58071","1969",7,"14","58071_01","IJ DJB CJW","6/25/2024",NA,39,31,NA,"impact","impact_1964-1973","30.75667","-89.82611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","58071","1969",7,"14","58071_02","JT KL ","6/25/2024",NA,49,38,911,"impact","impact_1964-1973","30.75667","-89.82611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","59446","1969",10,"28","59446_01","IJ SC KL","6/27/2024",NA,77,56,3048,"control","control_1964-1973","30.76805","-89.83083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"27","59446","1969",10,"28","59446_02","JT SC","6/27/2024",NA,96,71,5169,"control","control_1964-1973","30.76805","-89.83083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","62094","1970",4,"21","62094_01","SC DMDM ","6/27/2024",NA,75,63,3364,"control","control_1964_1973","30.77861","-89.82972",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","62094","1970",4,"21","62094_02","SC DJB","6/27/2024",NA,77,62,NA,"control","control_1964_1973","30.77861","-89.82972",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"30","63780","1970",7,"9","63780_02","JT DJB KL","6/25/2024","M",40,37,759,"impact","impact_1964-1973","30.75667","-89.82611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","63780","1970",7,"9","63780_01","SC DMDM","6/25/2024",NA,47,36,701,"impact","impact_1964-1973","30.75667","-89.82611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","68158","1971",1,"25","68158_02","IJ SC GMC","6/27/2024",NA,135,114,18436,"control","control_1964-1973","30.77472","-89.82806",0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","68158","1971",1,"25","68158_01","JT SC DMDM","6/27/2024",NA,107,83,7279,"control","control_1964-1973","30.77472","-89.82806",0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","79538","1972",7,"12","79538_01","IJ SC CJW","6/27/2024",NA,79,63,3956,"impact","impact_1964-1973","30.75667","-89.82611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","79538","1972",7,"12","79538_02","JT SC GMC","6/27/2024",NA,52,41,822,"impact","impact_1964-1973","30.75667","-89.82611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"36","83744","1973",7,"11","83744_02","JT DJB DMDM","6/25/2024",NA,62,48,1662,"impact","impact_1964-1973","30.75667","-89.82611",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","83744","1973",7,"11","83744_01","SC DJB CJW","6/25/2024",NA,51,40,930,"impact","impact_1964-1973","30.75667","-89.82611",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","90827","1974",10,"29","90827_01","JT KL","6/26/2024",NA,88,68,4447,"impact","impact_1974-1983","30.705","-89.84611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","90827","1974",10,"29","90827_02","IJ JT KL","6/26/2024","F",119,91,10852,"impact","impact_1974-1983","30.705","-89.84611",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","97015","1976",1,"22","97015_01","IJ JT DMDM","6/27/2024",NA,70,50,2400,"impact","impact_1974-1983","30.74055","-89.82694",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","97015","1976",1,"22","97015_02","JT DMDM","6/27/2024",NA,80,60,3105,"impact","impact_1974-1983","30.74055","-89.82694",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","99517","1976",13,"10","99517_01","SC JT GMC","6/26/2024","",104,81,7227,"impact","impact_1974-1983","30.705","-89.84611",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","99517","1976",10,"13","99517_02","DJB KL","6/26/2024",NA,91,68,4891,"impact","impact_1974-1983","30.705","-89.84611",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","105376","1977",12,"19","105376_01","JT GMC","6/25/2024",NA,45,31,746,"control","control_1974-1983","30.77861","-89.82972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0
"45","105376","1977",12,"19","105376_02","JT CJW","6/26/2024",NA,61,41.5,1562,"control","control_1974-1983","30.77861","-89.82972",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","108482","1978",7,"19","108482_01","DJB GMC","6/26/2024",NA,49,42,1263,"control","control_1974-1983","30.76805","-89.83083",0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","108482","1978",7,"19","108482_02","SC DJB KL","6/26/2024",NA,48,37,694,"control","control_1974-1983","30.76805","-89.83083",0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,NA,0,11,0,0,0,0,0,0,0,0,0
"48","108500","1978",7,"19","108500_01","SC DJB CJW","6/25/2024",NA,31,26,220,"impact","impact_1974-1983","30.75667","-89.82611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","108500","1978",7,"19","108500_02","IJ BJB DMDM","6/25/2024",NA,54,38,1028,"impact","impact_1974-1983","30.75667","-89.82611",0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","108551","1978",7,"19","108551_02","SC DJB KL","6/26/2024",NA,77,61,2788,"impact","impact_1974-1983","30.70222","-89.84417",0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","108551","1978",7,"19","108551_01","DJB DJB/CJW","6/27/2024",NA,78,58,2974,"impact","impact_1974-1983","30.70222","-89.84417",1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"52","109076","1978",8,"29","109076_02","DJB CJW","6/27/2024",NA,61,46,1328,"control","control_1974-1983","30.77861","-89.82972",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","109076","1978",8,"29","109076_01","SC DJB CJW","6/27/2024",NA,67,50,2038,"control","control_1974-1983","30.77861","-89.82972",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","115142","1979",10,"24",",115142_01","IJ DHB.SC ","6/27/2024",NA,81,60,3727,"control","control_1974-1983","30.76805","-89.83083",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","115142","1979",10,"24","1152142_01","SC JT KL","6/27/2024",NA,74,61,2764,"control","control_1974-1983","30.76805","-89.83083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","118276","1980",10,"23","118276_01","DD KL CHW CNW","1/17/2024",NA,60,49,NA,"control","control_1974-1983","30.76805","-89.83083",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,1,0,0
"57","118276","1980",10,"23","118276_02","GC","1/17/2024",NA,89,64,NA,"control","control_1974-1983","30.76805","-89.83083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","124399","1982",1,"28","124399_02","JT SC KL","6/27/2024",NA,74,54,2200,"control","control_1974-1983","30.77861","-89.82972",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","124399","1982",1,"28","124399_01","DJB KL","6/27/2024",NA,93,67,5063,"control","control_1974-1983","30.77861","-89.82972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"60","136244","1984",7,"17","136244_01","DJB GMC","6/27/2024",NA,139,104,15681,"impact","impact_1984-1993","30.74055","-89.82694",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"61","136244","1984",7,"17","136244_02","IJ SC CJW","6/27/2024",NA,127,88,10599,"impact","impact_1984-1993","30.74055","-89.82694",0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","146787","1986",10,"9","146787_01","KL","7/14/2023",NA,85,64,NA,"impact","impact_1984-1993","30.70222","-89.84417",0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","146787","1986",10,"9","146787_02","CNW KL","11/30/2023",NA,85,68,NA,"impact","impact_1984-1993","30.70222","-89.84417",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","147855","1987",1,"22","147855_02","CHW KL","11/27/2023",NA,87,64,NA,"impact","impact_1984-1993","30.76528","-89.83222",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","147855","1987",1,"22","147855_01","GC","11/27/2023","na",50,39,NA,"impact","impact_1984-1993","30.76528","-89.83222",0,0,0,0,6,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"66","153841","1988",10,"20","153841_02","JT CJW","6/25/2024",NA,101,75,6185,"impact","impact_1984-1993","30.70222","-89.84417",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"67","153841","1988",10,"20","153841_01","DJB JT GMC","6/26/2024",NA,101,73,5899,"impact","impact_1984-1993","30.70222","-89.84417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0
"68","157299","1990",1,"25","157299_01","JT DJB KL","6/26/2024",NA,98,70,5110,"control","control_1984-1993","30.77583","-89.82722",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"69","157299","1990",1,"25","157299_02","SC DJB DMDM","6/27/2024",NA,84,65,2725,"control","control_1984-1993","30.77583","-89.82722",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","157316","1990",1,"25","157316_01","JT DJB GMC","6/27/2024",NA,70,52,1795,"impact","impact_1984-1993","30.75667","-89.82611",0,0,0,0,2,0,0,0,1,1,1,1,0,1,1,0,0,0,2,1,0,0,0,0,0,1,0,0
"71","157316","1990",1,"25","157316_02","IJ DJB/ KL ","6/27/2024","MA",40,38,NA,"impact","impact_1984-1993","30.75667","-89.82611",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","157351","1990",1,"25","157351_02","DJB DMDM","6/27/2024",NA,127,95,11785,"impact","impact_1984-1993","30.70222","-89.84417",3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","157351","1990",1,"25","157351_01","SC KL","6/27/2024",NA,108,80,NA,"impact","impact_1984-1993","30.70222","-89.84417",1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","159967","1991",1,"3","159967_01","SC JT KL","6/26/2024",NA,64,50,1534,"control","control_1984-1993","30.77583","-89.82722",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"75","159967","1991",1,"3","159967_02","DJB GMC","6/26/2024",NA,69,51,1754,"control","control_1984-1993","30.77583","-89.82722",0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"76","160020","1991",1,"3","160020_02","IJ SC GMC","6/27/2024",NA,72,61,2872,"impact","impact_1984-1993","30.705","-89.84611",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","160020","1991",1,"3","160020_01","DJB GMC","6/27/2024",NA,80,58,3120,"impact","impact_1984-1993","30.705","-89.84611",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
"78","182143","1997",1,"4","182143_02","DJB JT CJW","6/26/2024",NA,103,81,6953,"impact","impact_1994-2003","30.73694","-89.82694",0,0,0,0,14,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
"79","182143","1997",1,"4","182143_01","SC CLW","6/24/2024",NA,100,76,5450,"impact","impact_1994-2003","30.73694","-89.82694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","185384","1998",1,"24","185384_01","HT KL CNW","1/22/2024","na",100,78,NA,"impact","impact_1994-2003","30.75444","-89.82722",0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,25,0,0
"81","185384","1998",1,"24","185384_02","SD KL DD GC CNW","1/23/2024",NA,55,45,NA,"impact","impact_1994-2003","30.75444","-89.82722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"82","190279","2000",1,"8","190279_01","DJB DJB/  GMC","6/27/2024",NA,114,81,8762,"control","control_1994-2003","30.77611","-89.82777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"83","190279","2000",1,"8","190279_02","SC DJB","6/26/2024",NA,59,45,1177,"control","control_1994-2003","30.77611","-89.82777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","190621","2000",4,"7","190621_02","IJ JT GMC","6/26/2024",NA,62,50,1542,"impact","impact_1994-2003","30.75444","-89.82722",0,0,0,0,10,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"85","190621","2000",4,"7","190621_01","SC JT","6/26/2024",NA,70,54,2650,"impact","impact_1994-2003","30.75444","-89.82722",0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","193706","2002",1,"26","193706_02","IJ JT KL DB","6/25/2024",NA,95,78,5096,"impact","impact_1994-2003","30.74055","-89.82694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","193706","2003",1,"26","193706_01","DJB GMC","6/25/2024",NA,107,79,8342,"impact","impact_1994-2003","30.74055","-89.82694",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"88","198297","2005",2,"12","198297_01","JT SC CJW","6/25/2024",NA,58,44,1220,"impact","impact_2004-2013","30.74055","-89.82694",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,1,0,0
"89","198297","2005",2,"12","198297_01","SC DMDM","6/25/2024",NA,60,47,1403,"impact","impact_2004-2013","30.74055","-89.82694",0,0,0,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
